id,name,lat,lon,line,opened,description
AG,Camino Agrícola,-33.491585,-70.617531,,,
AH,San Alberto Hurtado,-33.454113,-70.692436,,,
AL,Alcántara,-33.415325,-70.589453,,,
AN,Santa Ana (L2-L5),-33.438318,-70.65985,,,
AV,Vespucio Norte,-33.380429,-70.646821,,,
BA,Baquedano (L1-L5),-33.437036,-70.633527,,,
BE,Bellas Artes,-33.436611,-70.644524,,,
BI,Francisco Bilbao,-33.431484,-70.584641,,,
BL,Blanqueado,-33.441505,-70.707321,,,
BR,Barrancas,-33.452669,-70.739017,,,
BU,Santiago Bueras,-33.496645,-70.757567,,,
CA,Puente Cal y Canto (L2-L3),-33.432716,-70.6525,,,
CB,Cerro Blanco,-33.422554,-70.644974,,,
CE,Cementerios,-33.414074,-70.643562,,,
CH,Universidad de Chile (L3-L1),-33.443809,-70.650391,,,
CN,Ciudad del Niño,-33.510162,-70.65686,,,
CO,Cristóbal Colón,-33.426224,-70.590973,,,
CV,Carlos Valdovinos,-33.485641,-70.619652,,,
DE,Departamental,-33.502556,-70.65464,,,
DO,Dorsal,-33.396801,-70.642677,,,
DS,Del Sol,-33.489991,-70.752848,,,
EA,Elisa Correa,-33.569405,-70.583611,,,
EC,Ecuador,-33.456047,-70.699669,,,
PZE,Plaza Egaña (L4-L3),-33.453278,-70.570732,,,
EI,Einstein,-33.405731,-70.643135,,,
EL,Estación Central,-33.45097,-70.679169,,,
EM,Escuela Militar,-33.413752,-70.58325,,,
EP,El Parrón,-33.526531,-70.661423,,,
FRA,Franklin(L2-L6),-33.476217,-70.649632,,,
GA,Príncipe de Gales,-33.439163,-70.57309,,,
GL,Gruta de Lourdes,-33.438262,-70.690838,,,
GO,El Golf,-33.416611,-70.595688,,,
HM,Hernando de Magallanes,-33.407904,-70.556213,,,
HS,Hospital Sótero del Río,-33.576462,-70.582375,,,
IRA,Irarrázaval (L5-L3),-33.453766,-70.628773,,,
JE,San José de la Estrella,-33.553356,-70.586562,,,
JU,Santa Julia,-33.531105,-70.605499,,,
LA,Unión Latino Americana,-33.449467,-70.673203,,,
LC,La Cisterna (L2-L4A),-33.537376,-70.664381,,,
LD,Los Dominicos,-33.407895,-70.545109,1,07/01/2010,"Los Dominicos es una estación ferroviaria que forma parte de la Línea 1 de la red del Metro de Santiago de Chile. Se encuentra subterránea, siendo la estación terminal de la Línea 1, antecedida por la estación Hernando de Magallanes. Inaugurada el 7 de enero de 2010, se ubica en Avenida Apoquindo con Camino El Alba y Patagonia, en la comuna de Las Condes."
LEN,Los Leones,-33.422164,-70.60859,,,
LF,Bellavista de la Florida,-33.519822,-70.599652,,,
LG,La Granja,-33.541138,-70.615967,,,
LH,Los Héroes (L1-L2),-33.446148,-70.660382,,,
LN,El Llano,-33.482703,-70.649445,,,
LM,La Moneda,-33.444857,-70.654811,,,
LO,Lo Ovalle,-33.5172,-70.658707,,,
LP,Los Presidentes,-33.479797,-70.578712,,,
LQ,Los Quillayes,-33.560627,-70.585289,,,
LR,Las Rejas,-33.457157,-70.705963,,,
LS,Laguna Sur,-33.462563,-70.738066,,,
LT,Las Torres,-33.500034,-70.587074,,,
LV,Lo Vial,-33.497272,-70.653107,,,
MA,Mirador,-33.512936,-70.606583,,,
MC,Macul,-33.508785,-70.589485,,,
ME,Las Mercedes,-33.602119,-70.577194,,,
MM,Manuel Montt,-33.428341,-70.619209,,,
MQ,Manquehue,-33.409251,-70.568734,,,
MT,Monte Tabor,-33.481816,-70.745165,,,
NP,Neptuno,-33.451546,-70.722687,,,
NUB,Ñuble (L5-L6),-33.46719,-70.625186,,,
OR,Los Orientales,-33.462456,-70.573792,,,
PA,Las Parcelas,-33.475394,-70.740043,,,
PB,Parque Bustamante,-33.442787,-70.63163,,,
PE,Pedrero,-33.507812,-70.612663,,,
PI,Protectora de la Infancia,-33.589287,-70.579704,,,
PJ,Pajaritos,-33.457981,-70.715775,,,
PM,Plaza de Maipú,-33.510522,-70.75723,,,
PPA,Plaza de Puente Alto,-33.609547,-70.575905,,,
PQ,Parque O`higgins,-33.460464,-70.656868,,,
PR,Lo Prado,-33.443298,-70.716412,,,
PT,Patronato,-33.42963,-70.647064,,,
PU,Pudahuel,-33.44483,-70.740722,,,
PV,Pedro de Valdivia,-33.425465,-70.614273,,,
PZ,Plaza de Armas (L5-L3),-33.43726,-70.650551,,,
QN,Quinta Normal,-33.440282,-70.680357,,,
RA,Rodrigo de Araya,-33.477516,-70.622314,,,
RC,Cumming,-33.439098,-70.668427,,,
RG,Grecia,-33.468819,-70.576202,,,
RM,Rojas Magallanes,-33.535854,-70.592773,,,
RN,San Ramón,-33.541194,-70.643671,,,
RO,Rondizzoni,-33.470043,-70.656331,,,
RP,República,-33.447952,-70.667564,,,
RQ,Quilín,-33.487999,-70.580231,,,
SA,Salvador,-33.433107,-70.626585,,,
SB,Simón Bolivar,-33.445904,-70.572037,,,
SI,Santa Isabel,-33.447102,-70.630402,,,
SJ,San Joaquín,-33.498318,-70.61602,,,
SL,Santa Lucía,-33.442691,-70.64572,,,
SM,San Miguel,-33.488798,-70.651178,,,
SP,San Pablo (L1-L5),-33.444218,-70.723302,,,
SR,Santa Rosa,-33.542511,-70.634125,,,
TB,Tobalaba (L1-L4),-33.418145,-70.601353,,,
TO,Toesca,-33.452965,-70.658577,,,
TR,Trinidad,-33.54702,-70.587654,,,
UC,Universidad Católica,-33.440216,-70.640549,,,
US,Universidad de Santiago,-33.452896,-70.68615,,,
VV,Vicente Valdés (L4-L5),-33.526337,-70.596756,,,
VMI,Vicuña Mackenna (L4-L4A),-33.519642,-70.596069,,,
ZA,Zapadores,-33.390938,-70.642441,,,
CS,Cerrillos,-33.483371,-70.695506,,,
LVA,Lo Valledor,-33.478283,-70.680678,,,
PG,Pdte. Pedro Aguirre Cerda,-33.478681,-70.664706,,,
BB,Bio Bio,-33.476402,-70.641942,,,
EN,Estadio Nacional,-33.462282,-70.606113,,,
NUN,Ñuñoa (L3-L6),-33.454265,-70.604892,,,
IS,Ines de Suárez,-33.438878,-70.607201,,,
LIB,Los Libertadores,-33.365439,-70.69244,,,
CAR,Cardenal Caro,-33.373452,-70.686104,,,
VIV,Vivaceta,-33.385877,-70.679226,,,
CCH,Conchalí,-33.397985,-70.669546,,,
PZC,Plaza Chacabuco,-33.406565,-70.661028,,,
HOS,Hospitales,-33.417663,-70.656373,,,
PAL,Parque Almagro,-33.451381,-70.650491,,,
MAT,Avenida Matta,-33.458237,-70.642682,,,
MEY,Mons. Eyzaguirre,-33.453164,-70.613835,,,
ESP,Chile-España,-33.454949,-70.59748,,,
VFR,Villa Frei,-33.454618,-70.580987,,,
FCV,Fernando Castillo Velasco,-33.452065,-70.55792,,,
FE,Ferrocarril,-33.36556988,-70.70573924,,,
LZ,Lo Cruzat,-33.36645472,-70.72186655,,,
PL,Plaza Quilicura,-33.365675,-70.72874864,,,
EB,El Bosque,-33.54651882,-70.66668335,,,
OB,Observatorio,-33.56036562,-70.67047682,,,
CM,Copa Lo Martínez,-33.57088751,-70.67342002,,,
HP,Hospital El Pino,-33.582953,-70.67677852,,,